"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"1",0,-6.74237095035224e-05,0.000509529722619639,8.53960326452352e-07,-0.000610890044131729,0.000543526151707496,-0.0025866376049053,5.31357907807006e-06,-0.00174170873099744,0.000500862173543837,-0.00122475345528805,-0.000163179016019477,0.00123424840569797,-7.08750653632961e-06,-1.66085901565083e-06,5.5824529345827e-06,0.000521077935847991,0.000134454477743517,1.66041093887515e-05,-9.11899050937137e-07,0.000882954863953955,7.4002199116574e-05,0.000523288490699159,0.00167917589535982,-3.52466912456606e-06,1.35336139841513e-05,-0.00228094275886859,1.8784882769296e-06,0.000561089896011779,-3.85154741247007e-05,0.0022510142746337,0.00159479623267877,-1.48313323369287e-05,2.84925824800553e-06,-0.00152229956618211,-0.000552636899086689,-4.09899852207296e-05,1.99829400493456e-06,0.00013292044986013,-0.00044442188778282,-0.00050978626618603,-0.000181938396062176,-0.000129716989754947,-0.000136048979564762,0.00167615991721926,0.000451752669119454,-0.000299749816013772
"2",-6.74237095035224e-05,0,0.016633018578819,0.000232358945106093,-0.0275500895179048,0.0406417294802401,0.0244398528981113,0.0042279184185019,0.0107381716918629,0.0194194470196751,0.0254598816220941,-0.00109395616968566,0.0165275139352161,8.88595266435033e-06,-0.000194268805335795,-0.000490488135311384,0.0208602579767847,-0.00694825389890852,0.000301373746169453,0.000823804940706552,0.0393185432466492,0.0342738689253328,0.0369756929969336,0.0342682662242471,0.000227680766590854,-0.00059793687996379,0.0594134000797166,6.92373575286176e-05,0.0495955709785489,0.000578427428360229,0.0334867551569253,0.0326374485671743,0.00266314083269403,-0.000140817976057139,0.0395427536021722,0.047037805856756,0.000793151649721047,0.00019437515041254,0.00780395864438876,0.0287461718159281,0.0331492090377399,0.000341938460814095,0.0108218347181763,0.011636964016569,-0.019585935636889,0.00266985281842391,0.00931885133202037
"3",0.000509529722619639,0.016633018578819,0,0.00273233452017108,0.121401934147151,0.0216180115061082,0.135342121369273,0.0148668755540298,-0.03017879401748,0.0799292724270328,-0.0553361023512666,-0.0115986515516537,0.116919086443589,-0.00714884601575072,0.000903029603924743,0.00381446613571335,0.1585214165159,0.0316887312063194,0.000145251340873731,0.000610373824422084,0.0262418418042065,0.0137639863928847,0.0477219240214302,0.0430389686357966,0.000357620364053624,-0.00935797947326877,0.191720598404925,0.00317726544741115,0.139559075980634,-0.00303911806989898,-0.00291508347000891,-0.0318117534111826,-0.0010821914792678,-3.24788032721735e-05,-0.0275870643155138,0.0924636293707981,0.0160217341022748,0.000508056055015693,-0.00741398125874149,0.00714734100498404,0.0132811421074983,-0.0180804600484499,0.0267748681522835,0.0139116480276051,-0.0359622935851371,-0.0740861260499011,-0.0131475361652456
"4",8.53960326452352e-07,0.000232358945106093,0.00273233452017108,0,0.000672688385695785,-3.66329504690732e-05,0.000745527099307086,0.000120315809536642,0.00120267815079966,0.000695931070091582,0.000415789498267483,4.08410587215968e-06,0.000274373817531259,-3.03009978175339e-06,1.4402153331261e-05,2.61409118351708e-07,-0.000189856838125557,0.000197433337262964,1.65541319798734e-05,1.09662249720976e-05,0.000196853235572281,7.85167719734581e-05,-0.000229467593618526,0.000424887470072743,-1.36953516021165e-05,-1.33529683310485e-07,0.000299132476233144,8.5998085452843e-07,-0.000184193549234379,2.39309582017455e-06,0.000487257122243623,-0.000294796648095286,3.80871417831052e-05,1.64325704243851e-06,-0.00171601803886245,0.000213349276179109,1.73042847317895e-05,9.30198936544002e-07,0.000128208666656526,-0.000325429613430295,-0.000333145778101507,0.000222971660288618,0.000222832573395948,0.000175169253139984,-0.00134640846304368,-0.00015470126146111,8.03083810092531e-05
"5",-0.000610890044131729,-0.0275500895179048,0.121401934147151,0.000672688385695785,0,0.157083996440775,0.162869910535651,0.0140885920670284,0.0427935839568971,0.0717950976468975,0.0959482156784555,0.0121691637629215,-0.00371891451588402,-0.0114913750859937,0.00464290910294274,-0.00955657755051931,0.0924668853394981,0.00611063056113448,0.0026504834794272,0.00317333402413089,0.0391329798281088,0.00416221874027478,0.0384721511414838,0.0626868030304584,0.00302095346485931,-0.0114020033132833,0.239715591470574,0.00162990404190921,0.27126197752068,-0.00539606264678527,0.0069661027028598,0.0316712329811089,0.00263927439029699,-0.000311568729043366,0.129321876804913,0.145456562041693,0.0095372846269961,0.000209271172985304,0.00582017899384901,0.021396054288656,0.221049102349005,0.0811119164174552,-0.00701237258818388,0.0254260144098986,-0.0733512531946001,-0.00682284645710007,0.0166077946894525
"6",0.000543526151707496,0.0406417294802401,0.0216180115061082,-3.66329504690732e-05,0.157083996440775,0,0.0267095060445905,-0.00987798824275332,-0.0329107729358693,0.260743809043525,0.124247570738351,-0.0458380373062868,0.244212387111608,-0.0179230448609751,0.00733157986713984,-0.0192022350060101,0.0772908236490384,-0.041028467197664,-0.00803176504571912,-0.00148665941041592,0.0326702531718697,0.150878822134484,0.227126235993439,0.299383390438818,0.00563223913555255,-0.0170789870967276,0.127101460397437,0.000496200260584168,0.16125077163383,-0.024630674625258,0.331746993000107,0.319476566153039,0.00947402037000344,-0.00181284985544217,0.113513718538262,0.236973700822894,-0.0125164951241343,0.00157858390340371,0.00720726363942381,0.0192044024289668,0.0736427231170644,0.0710533035383034,-0.00238504095381842,0.0526431506143639,0.105809038196996,-0.0174781609882855,0.0255052204437005
"7",-0.0025866376049053,0.0244398528981113,0.135342121369273,0.000745527099307086,0.162869910535651,0.0267095060445905,0,0.00473405939582072,0.0737424986943562,0.0206415521172487,0.0284390867112574,0.0616722914614103,0.0803560197535944,-5.87786804229218e-05,-0.00564960174080564,-0.00583650760450194,0.118784715099853,-0.00378512960477995,-0.00605118080315226,0.0057509592867464,0.10834402871957,0.061827629965574,0.0306777280208097,-0.0519518644555719,0.00908871836995129,-0.0103810073898876,0.252854565998432,0.000199488922415725,0.226085317243204,0.0227160614880084,-0.0573128970023182,-0.0415172611141488,0.0185898483514895,0.000443613948187593,0.158437929962428,0.0328314295622416,-0.00295729200438499,0.000309620647942932,0.00478813103258435,-0.0116871309347086,0.151491513519973,0.112751949308351,0.00071856036794582,0.0232106841919375,-0.0991830940629361,-0.0169178165260266,0.0639548965363428
"8",5.31357907807006e-06,0.0042279184185019,0.0148668755540298,0.000120315809536642,0.0140885920670284,-0.00987798824275332,0.00473405939582072,0,0.00953328193441738,0.0081502571733667,0.00789456019134294,0.00247724977583719,-0.00578416948023763,-0.000123692716541335,0.000153988034936603,-8.26192158287498e-06,-0.00682425050990476,0.000507205519896026,0.000510618736440094,0.000112087874776456,0.0145920853809143,0.00109925845249181,-0.0092434512289965,-0.000356238303512058,-0.000303942546116875,6.35912725117649e-05,0.0141128594994431,5.97918292344346e-06,0.00943497168705454,0.000369686897225385,-0.00708795028233622,0.0154710427907632,0.000231008597525673,1.88789119897059e-05,-0.00682006628540321,-0.00348507184431268,0.00204295813162769,4.4659088693777e-06,0.00330794921945099,0.00451341542613548,0.00164883299866947,-0.000613088573911291,0.00540363640881747,0.00212957387413937,-0.0129056169192583,-0.00136370442772282,0.00302491937282223
"9",-0.00174170873099744,0.0107381716918629,-0.03017879401748,0.00120267815079966,0.0427935839568971,-0.0329107729358693,0.0737424986943562,0.00953328193441738,0,-0.0331990745095894,0.0345724536940759,0.0200420949246958,-0.0529017942182262,-0.00308489568589687,-0.00256062033870519,0.00225315376350643,-0.0211025545006769,-0.0117359538165354,0.00231275335559467,0.004455625595845,-0.00595557455450635,0.00412140825760554,0.0221887872076092,0.0151751763776313,0.00422994995870862,0.00380847587747946,0.0638359457863213,0.000517544807988379,0.0413391151281686,0.00773361302118492,-0.0318477568419731,-0.00951279617885348,0.00987077764310262,0.000514772504419003,0.0178310557852601,0.0190153019282571,0.010783227347765,9.72894876394292e-05,0.00135769747111869,0.0594034628732589,0.0528758567370553,0.0291309756588993,0.0405114579952368,0.024553985355749,-0.0478474279849523,-0.0174959344362797,0.0447553727259828
"10",0.000500862173543837,0.0194194470196751,0.0799292724270328,0.000695931070091582,0.0717950976468975,0.260743809043525,0.0206415521172487,0.0081502571733667,-0.0331990745095894,0,0.0708188856674541,-0.000845462916150286,0.107734650798679,0.00313689577312637,0.0104730215654452,0.000637059314663624,0.0312165223139145,0.0360464359496255,0.00267044514801995,0.00316024835199835,0.012521673487552,-0.00637040274631939,0.0686145401817546,0.13957320420748,-0.00845337024527826,-0.00159971609318443,0.100425932328953,0.00107124461877905,0.0650373871800007,-0.00464317910326573,0.148520413343168,0.101963388041605,-0.00338111576641342,-8.45682713004337e-05,-0.0287733991756545,0.1991972041716,0.0153527456284439,-0.00087194741120733,0.0221480741055506,0.00873442678271763,0.0424688308521306,0.0186214887422955,0.0335530816609677,0.0134743685446197,0.0822289576224988,-0.0376767963482725,0.00953166436444741
"11",-0.00122475345528805,0.0254598816220941,-0.0553361023512666,0.000415789498267483,0.0959482156784555,0.124247570738351,0.0284390867112574,0.00789456019134294,0.0345724536940759,0.0708188856674541,0,0.0569411623046685,0.0447379151525586,0.00298849789970479,0.00769622503803413,-0.00562779482329567,0.0234684139363415,0.0408507608659154,-0.00258037910442344,0.00126097384602675,-0.0160119175364706,0.0734507079380644,0.0967794038766345,0.00500689304467716,0.0115837386602293,-0.00199264977124081,0.129012668489696,0.00041827348849699,0.127067001726108,0.029130204034439,0.0190485240102025,0.0525883484536918,0.000318092404571146,-0.0018331452191398,0.159971064146921,0.0703658915396863,0.027437439748605,-0.00110081936445416,0.00299708459797987,0.0021718198816516,0.022581300710125,0.0201109734233937,0.0318796689683523,0.0284426764473062,-0.0828494610762252,-0.035063370239965,0.0659019398278717
